GeneID	Symbol
ENSG00000064687	ABCA7
ENSG00000166016	ABTB2
ENSG00000248431	AC005150.1
ENSG00000277669	AC009133.22
ENSG00000264748	AC025470.1
ENSG00000278648	AC051649.1
ENSG00000253190	AC084082.3
ENSG00000170846	AC093323.3
ENSG00000240093	AC093627.12
ENSG00000233766	AC098617.1
ENSG00000222032	AC112721.2
ENSG00000267614	AC138472.6
ENSG00000256546	AC156455.1
ENSG00000280566	AC239868.1
ENSG00000087085	ACHE
ENSG00000014257	ACPP
ENSG00000103740	ACSBG1
ENSG00000169067	ACTBL2
ENSG00000154734	ADAMTS1
ENSG00000166106	ADAMTS15
ENSG00000049192	ADAMTS6
ENSG00000255085	AF186192.5
ENSG00000138678	AGPAT9
ENSG00000188157	AGRN
ENSG00000147853	AK3
ENSG00000281258	AL009179.1
ENSG00000280696	AL021807.1
ENSG00000280547	AL031777.1
ENSG00000281823	AL031777.2
ENSG00000280826	AL049822.1
ENSG00000148677	ANKRD1
ENSG00000164236	ANKRD33B
ENSG00000185101	ANO9
ENSG00000213983	AP1G2
ENSG00000081014	AP4E1
ENSG00000198576	ARC
ENSG00000183876	ARSI
ENSG00000117407	ARTN
ENSG00000169136	ATF5
ENSG00000163399	ATP1A1
ENSG00000018625	ATP1A2
ENSG00000105409	ATP1A3
ENSG00000129244	ATP1B2
ENSG00000156966	B3GNT7
ENSG00000133169	BEX1
ENSG00000266575	BOLA2P1
ENSG00000159388	BTG2
ENSG00000205861	C1QTNF9B-AS1
ENSG00000181751	C5orf30
ENSG00000151893	CACUL1
ENSG00000247844	CCAT1
ENSG00000233098	CCDC144NL-AS1
ENSG00000198937	CCDC167
ENSG00000228544	CCDC183-AS1
ENSG00000187094	CCK
ENSG00000177675	CD163L1
ENSG00000125726	CD70
ENSG00000158825	CDA
ENSG00000171219	CDC42BPG
ENSG00000163814	CDCP1
ENSG00000089486	CDIP1
ENSG00000124762	CDKN1A
ENSG00000273777	CEACAM20
ENSG00000230666	CEACAM22P
ENSG00000124469	CEACAM8
ENSG00000241104	CEACAMP10
ENSG00000184524	CEND1
ENSG00000138778	CENPE
ENSG00000166037	CEP57
ENSG00000167670	CHAF1A
ENSG00000250479	CHCHD10
ENSG00000171310	CHST11
ENSG00000124302	CHST8
ENSG00000166165	CKB
ENSG00000189143	CLDN4
ENSG00000181885	CLDN7
ENSG00000153132	CLGN
ENSG00000169583	CLIC3
ENSG00000139182	CLSTN3
ENSG00000113300	CNOT6
ENSG00000158270	COLEC12
ENSG00000102879	CORO1A
ENSG00000160471	COX6B2
ENSG00000128510	CPA4
ENSG00000177685	CRACR2B
ENSG00000213145	CRIP1
ENSG00000257341	CRIP1
ENSG00000095713	CRTAC1
ENSG00000267577	CTD-2587H24.5
ENSG00000267042	CTD-3193K9.4
ENSG00000136943	CTSV
ENSG00000154639	CXADR
ENSG00000145824	CXCL14
ENSG00000055163	CYFIP2
ENSG00000138061	CYP1B1
ENSG00000019186	CYP24A1
ENSG00000003249	DBNDD1
ENSG00000153904	DDAH1
ENSG00000145358	DDIT4L
ENSG00000162777	DENND2D
ENSG00000100867	DHRS2
ENSG00000109016	DHRS7B
ENSG00000211448	DIO2
ENSG00000155011	DKK2.00
ENSG00000151640	DPYSL4
ENSG00000249751	ECSCR
ENSG00000279686	ECSCR
ENSG00000101210	EEF1A2
ENSG00000163577	EIF5A2
ENSG00000196361	ELAVL3
ENSG00000118985	ELL2
ENSG00000177106	EPS8L2
ENSG00000124882	EREG
ENSG00000175832	ETV4
ENSG00000188107	EYS
ENSG00000131187	F12
ENSG00000164251	F2RL1
ENSG00000231584	FAHD2CP
ENSG00000178882	FAM101A
ENSG00000145569	FAM105A
ENSG00000125898	FAM110A
ENSG00000183114	FAM43B
ENSG00000153310	FAM49B
ENSG00000180921	FAM83H
ENSG00000127585	FBXL16
ENSG00000130475	FCHO1
ENSG00000176971	FIBIN
ENSG00000179431	FJX1
ENSG00000176678	FOXL1
ENSG00000131386	GALNT15
ENSG00000182687	GALR2
ENSG00000137880	GCHFR
ENSG00000130513	GDF15
ENSG00000151892	GFRA1
ENSG00000139433	GLTP
ENSG00000215252	GOLGA8B
ENSG00000112414	GPR126
ENSG00000138271	GPR87
ENSG00000013588	GPRC5A
ENSG00000130600	H19
ENSG00000189060	H1F0
ENSG00000173805	HAP1
ENSG00000188536	HBA2
ENSG00000103145	HCFC1R1
ENSG00000116478	HDAC1
ENSG00000173706	HEG1
ENSG00000138646	HERC5
ENSG00000069812	HES2
ENSG00000179111	HES7
ENSG00000019991	HGF
ENSG00000258667	HIF1A-AS2
ENSG00000124610	HIST1H1A
ENSG00000180573	HIST1H2AC
ENSG00000196866	HIST1H2AD
ENSG00000277075	HIST1H2AE
ENSG00000274997	HIST1H2AH
ENSG00000196747	HIST1H2AI
ENSG00000275221	HIST1H2AK
ENSG00000276903	HIST1H2AL
ENSG00000278677	HIST1H2AM
ENSG00000218690	HIST1H2APS4
ENSG00000158373	HIST1H2BD
ENSG00000274290	HIST1H2BE
ENSG00000277224	HIST1H2BF
ENSG00000273802	HIST1H2BG
ENSG00000275713	HIST1H2BH
ENSG00000278588	HIST1H2BI
ENSG00000124635	HIST1H2BJ
ENSG00000197903	HIST1H2BK
ENSG00000185130	HIST1H2BL
ENSG00000273703	HIST1H2BM
ENSG00000233822	HIST1H2BN
ENSG00000274641	HIST1H2BO
ENSG00000273983	HIST1H3G
ENSG00000197153	HIST1H3J
ENSG00000278705	HIST1H4B
ENSG00000197238	HIST1H4J
ENSG00000273542	HIST1H4K
ENSG00000203812	HIST2H2AA4
ENSG00000184270	HIST2H2AB
ENSG00000184678	HIST2H2BE
ENSG00000168148	HIST3H3
ENSG00000180448	HMHA1
ENSG00000099377	HSD3B7
ENSG00000135312	HTR1B
ENSG00000178922	HYI
ENSG00000216490	IFI30
ENSG00000095752	IL11
ENSG00000172349	IL16
ENSG00000127743	IL17B
ENSG00000150782	IL18
ENSG00000174564	IL20RB
ENSG00000162892	IL24
ENSG00000136244	IL6
ENSG00000148798	INA
ENSG00000122641	INHBA
ENSG00000237693	IRGM
ENSG00000105655	ISYNA1
ENSG00000143127	ITGA10
ENSG00000091409	ITGA6
ENSG00000173801	JUP
ENSG00000157551	KCNJ15
ENSG00000128052	KDR
ENSG00000119537	KDSR
ENSG00000163617	KIAA1407
ENSG00000128422	KRT17
ENSG00000135480	KRT7
ENSG00000212724	KRTAP2-3
ENSG00000115919	KYNU
ENSG00000130702	LAMA5
ENSG00000058085	LAMC2
ENSG00000256977	LIMS3
ENSG00000226935	LINC00161
ENSG00000204187	LINC00619
ENSG00000240476	LINC00973
ENSG00000239332	LINC01119
ENSG00000280744	LINC01173
ENSG00000236751	LINC01186
ENSG00000247157	LINC01252
ENSG00000204792	LINC01291
ENSG00000253898	LINC01419
ENSG00000231231	LINC01423
ENSG00000231131	LINC01468
ENSG00000228459	LINC01546
ENSG00000236882	LINC01554
ENSG00000101670	LIPG
ENSG00000071282	LMCD1
ENSG00000129038	LOXL1
ENSG00000261801	LOXL1-AS1
ENSG00000128606	LRRC17
ENSG00000127399	LRRC61
ENSG00000105699	LSR
ENSG00000248323	LUCAT1
ENSG00000054219	LY75
ENSG00000248672	LY75-CD302
ENSG00000124466	LYPD3
ENSG00000165072	MAMDC2
ENSG00000013619	MAMLD1
ENSG00000078018	MAP2
ENSG00000008735	MAPK8IP2
ENSG00000110492	MDK
ENSG00000151376	ME3
ENSG00000106484	MEST
ENSG00000277269	MESTIT1_1
ENSG00000278055	MESTIT1_2
ENSG00000277001	Metazoa_SRP
ENSG00000163975	MFI2
ENSG00000137463	MGARP
ENSG00000197530	MIB2
